1,-1,520,634,71,179,0.9994140,-1,-1,-1
1,-1,1495,653,39,110,0.9992419,-1,-1,-1
1,-1,1728,622,192,409,0.9992290,-1,-1,-1
1,-1,1442,654,35,111,0.9980646,-1,-1,-1
2,-1,1723,626,197,398,0.9993606,-1,-1,-1
2,-1,519,635,70,178,0.9991709,-1,-1,-1
2,-1,1497,653,40,110,0.9989737,-1,-1,-1
2,-1,1443,653,36,111,0.9979620,-1,-1,-1
3,-1,1717,630,196,394,0.9993948,-1,-1,-1
3,-1,1499,652,38,110,0.9991813,-1,-1,-1
3,-1,517,638,66,173,0.9986065,-1,-1,-1
3,-1,1445,653,34,111,0.9984080,-1,-1,-1
4,-1,1709,623,185,397,0.9995389,-1,-1,-1
4,-1,1499,652,40,110,0.9992348,-1,-1,-1
4,-1,515,637,62,175,0.9988037,-1,-1,-1
4,-1,1446,651,34,112,0.9983460,-1,-1,-1
5,-1,1705,632,168,384,0.9994992,-1,-1,-1
5,-1,1446,651,35,114,0.9990256,-1,-1,-1
5,-1,1501,650,39,111,0.9988644,-1,-1,-1
5,-1,511,635,63,178,0.9987162,-1,-1,-1
6,-1,1698,631,152,387,0.9996430,-1,-1,-1
6,-1,1448,650,34,114,0.9992854,-1,-1,-1
6,-1,1502,649,38,114,0.9990134,-1,-1,-1
6,-1,509,635,60,177,0.9987870,-1,-1,-1
6,-1,1808,661,47,88,0.7009365,-1,-1,-1
7,-1,1685,635,144,382,0.9996250,-1,-1,-1
7,-1,1505,648,36,114,0.9991597,-1,-1,-1
7,-1,1449,649,33,115,0.9990348,-1,-1,-1
7,-1,505,634,62,174,0.9988266,-1,-1,-1
7,-1,1811,658,47,86,0.9026498,-1,-1,-1
7,-1,1365,664,16,52,0.7063674,-1,-1,-1
8,-1,1505,649,38,115,0.9991756,-1,-1,-1
8,-1,1674,638,133,377,0.9989036,-1,-1,-1
8,-1,1448,648,36,118,0.9984421,-1,-1,-1
8,-1,502,630,63,182,0.9982217,-1,-1,-1
8,-1,1815,658,47,87,0.9871214,-1,-1,-1
8,-1,1365,663,16,53,0.8685284,-1,-1,-1
9,-1,1506,649,39,115,0.9991697,-1,-1,-1
9,-1,1447,648,38,119,0.9991145,-1,-1,-1
9,-1,499,630,58,179,0.9987302,-1,-1,-1
9,-1,1654,635,145,376,0.9984515,-1,-1,-1
9,-1,1815,655,51,92,0.9922014,-1,-1,-1
9,-1,1365,665,16,51,0.8876656,-1,-1,-1
10,-1,1645,626,152,386,0.9990827,-1,-1,-1
10,-1,1507,649,39,114,0.9990647,-1,-1,-1
10,-1,496,631,58,176,0.9986797,-1,-1,-1
10,-1,1447,651,39,116,0.9985323,-1,-1,-1
10,-1,1817,654,51,95,0.9926794,-1,-1,-1
10,-1,1364,666,17,51,0.9300916,-1,-1,-1
11,-1,1627,641,169,378,0.9991454,-1,-1,-1
11,-1,1508,651,39,112,0.9988205,-1,-1,-1
11,-1,1449,649,39,119,0.9987702,-1,-1,-1
11,-1,492,632,57,175,0.9986626,-1,-1,-1
11,-1,1817,655,52,92,0.9938129,-1,-1,-1
11,-1,1364,666,17,51,0.8741180,-1,-1,-1
12,-1,1613,640,181,373,0.9991124,-1,-1,-1
12,-1,1451,650,37,117,0.9990497,-1,-1,-1
12,-1,1509,650,40,113,0.9990361,-1,-1,-1
12,-1,490,631,57,177,0.9986260,-1,-1,-1
12,-1,1823,655,46,93,0.9942852,-1,-1,-1
12,-1,1364,667,16,50,0.7508017,-1,-1,-1
13,-1,1510,653,41,111,0.9992336,-1,-1,-1
13,-1,1451,651,39,116,0.9992030,-1,-1,-1
13,-1,1594,641,202,371,0.9990533,-1,-1,-1
13,-1,487,631,58,175,0.9980587,-1,-1,-1
13,-1,1826,653,42,96,0.9959103,-1,-1,-1
